Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,267.730011,272.890015,267.609985,272.190002,265.944763,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,266.618958,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,266.521271,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,267.810974,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,272.471497,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,272.129547,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,270.370850,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,268.983398,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,268.690277,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,268.981689,100343700
2018-03-19,273.350006,274.399994,268.619995,270.489990,265.342224,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,265.793518,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,265.283417,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,258.652069,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,253.138992,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,260.064667,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,255.640488,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,254.885086,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,258.141937,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,252.570038,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,255.807266,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,258.544128,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,260.584564,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,254.777206,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,256.032867,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,260.103882,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,258.740356,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,260.869049,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,260.103882,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,262.242371,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,265.047974,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,265.244171,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,263.772736,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,261.536072,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,261.496857,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,257.975189,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,258.612793,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,261.241821,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,261.487030,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,259.476074,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,259.937134,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,258.191010,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,257.622009,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,260.957336,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,261.840240,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,261.840240,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,264.371094,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,266.843109,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,267.657318,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,267.784882,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,265.940643,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,267.058899,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,266.833344,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,266.166260,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,268.167419,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,267.421875,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,268.157623,61021700
2018-05-24,272.910004,273.220001,270.779999,272.799988,267.608307,76043800
2018-05-25,272.149994,272.859985,271.579987,272.149994,266.970673,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,263.900208,115908600
2018-05-30,270.500000,273.109985,270.420013,272.609985,267.421875,69678400
2018-05-31,272.149994,272.489990,270.260010,270.940002,265.783661,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,268.393097,71258400
2018-06-04,274.529999,275.190002,274.260010,274.899994,269.668335,45385200
2018-06-05,275.049988,275.529999,274.179993,275.100006,269.864502,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,272.120758,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,272.091339,72969400
2018-06-08,276.850006,278.250000,276.660004,278.190002,272.895752,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,273.258667,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,273.611816,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,272.738739,79070600
2018-06-14,279.010010,279.329987,278.059998,278.730011,273.425446,77097600
2018-06-15,276.600006,277.510010,275.350006,277.130005,273.076630,120041600
2018-06-18,275.489990,276.700012,274.950012,276.559998,272.514984,52917600
2018-06-19,274.000000,275.750000,273.529999,275.500000,271.470459,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,271.933594,53785500
2018-06-21,275.959991,275.980011,273.679993,274.239990,270.228882,71061400
2018-06-22,275.660004,275.790009,274.489990,274.739990,270.721588,54898500
2018-06-25,273.440002,273.619995,269.100006,271.000000,267.036285,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,267.627502,68547400
2018-06-27,272.260010,273.869995,269.179993,269.350006,265.410400,105110700
2018-06-28,269.290009,271.750000,268.489990,270.890015,266.927887,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,267.312195,97592500
2018-07-02,269.510010,272.040009,269.239990,271.859985,267.883698,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,266.937744,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,269.115387,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,271.391632,66493700
2018-07-09,276.549988,277.959991,276.500000,277.899994,273.835358,50550400
2018-07-10,278.410004,279.010010,278.079987,278.899994,274.820709,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,272.810577,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,275.283844,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,275.500641,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,275.254272,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,276.367798,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,276.949158,44593500
2018-07-19,280.309998,280.739990,279.459991,280.000000,275.904663,61412100
2018-07-20,279.769989,280.480011,279.500000,279.679993,275.589325,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,276.101715,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,277.491089,68026900
2018-07-25,281.329987,284.369995,281.279999,284.010010,279.855988,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,279.195801,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,277.303894,76768700
2018-07-30,281.510010,281.690002,279.359985,279.950012,275.855408,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,277.215149,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,276.752045,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,278.259735,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,279.451996,53935400
2018-08-06,283.640015,284.989990,283.200012,284.640015,280.476776,39400900
2018-08-07,285.390015,286.010010,285.239990,285.579987,281.403015,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,281.284760,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,280.900482,35652400
2018-08-10,283.450012,284.059998,282.359985,283.160004,279.018433,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,277.973938,65686900
2018-08-14,282.920013,284.170013,282.480011,283.899994,279.747589,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,277.658600,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,279.905273,69967900
2018-08-17,283.829987,285.559998,283.369995,285.059998,280.890656,65618500
2018-08-20,285.570007,285.970001,285.059998,285.670013,281.491730,39807500
2018-08-21,286.250000,287.309998,285.709991,286.339996,282.151917,67272000
2018-08-22,285.880005,286.760010,285.579987,286.170013,281.984406,44993300
2018-08-23,285.970001,286.940002,285.429993,285.790009,281.609985,49204900
2018-08-24,286.440002,287.670013,286.380005,287.510010,283.304779,57487400
2018-08-27,288.859985,289.899994,288.679993,289.779999,285.541626,57072400
2018-08-28,290.299988,290.420013,289.399994,289.920013,285.679565,46943500
2018-08-29,290.160004,291.739990,289.890015,291.480011,287.216736,61485500
2018-08-30,290.940002,291.359985,289.630005,290.299988,286.053986,61229500
2018-08-31,289.839996,290.809998,289.290009,290.309998,286.063843,66140800
2018-09-04,289.839996,290.209991,288.679993,289.809998,285.571136,57594400
2018-09-05,289.410004,289.640015,287.890015,289.029999,284.802551,72452400
2018-09-06,289.149994,289.489990,287.000000,288.160004,283.945313,65909900
2018-09-07,286.980011,288.700012,286.709991,287.600006,283.393494,73524800
2018-09-10,288.739990,289.040009,287.880005,288.100006,283.886169,50210900
2018-09-11,287.369995,289.549988,286.980011,289.049988,284.822235,50530500
2018-09-12,289.059998,289.799988,288.230011,289.119995,284.891235,59810800
2018-09-13,290.320007,291.040009,290.000000,290.829987,286.576233,51034200
2018-09-14,291.059998,291.269989,290.000000,290.880005,286.625488,55079900
2018-09-17,290.820007,290.859985,289.029999,289.339996,285.108002,68244000
2018-09-18,289.579987,291.579987,289.549988,290.910004,286.655090,61930400
2018-09-19,290.970001,291.690002,290.829987,291.220001,286.960541,49080600
2018-09-20,292.640015,293.940002,291.239990,293.579987,289.286011,100360600
2018-09-21,293.089996,293.220001,291.809998,291.989990,289.021698,105479700
2018-09-24,291.339996,291.500000,290.369995,291.019989,288.061584,53409600
2018-09-25,291.529999,291.649994,290.480011,290.750000,287.794312,44370000
2018-09-26,290.910004,292.239990,289.410004,289.880005,286.933197,79739700
2018-09-27,290.410004,291.910004,290.100006,290.690002,287.734924,59249500
2018-09-28,289.989990,291.279999,289.950012,290.720001,287.764648,70091400
2018-10-01,292.109985,292.929993,290.980011,291.730011,288.764374,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,288.596100,47258200
2018-10-03,292.739990,293.209991,291.320007,291.720001,288.754486,64694600
2018-10-04,291.179993,291.239990,287.660004,289.440002,286.497650,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,284.894104,105951700
2018-10-08,287.049988,288.220001,285.500000,287.820007,284.894104,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,284.478363,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,275.470886,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,269.403229,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,273.144806,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,271.610535,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,277.549530,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,277.599060,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,273.590210,134557500
2018-10-19,277.130005,279.299988,275.470001,276.250000,273.441742,139901600
2018-10-22,277.000000,277.359985,274.410004,275.010010,272.214325,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,270.828552,146352700
2018-10-24,273.329987,273.760010,264.700012,265.320007,262.622864,177806700
2018-10-25,267.380005,271.809998,266.230011,270.079987,267.334442,138061500
2018-10-26,265.920013,271.000000,262.290009,265.329987,262.632721,201574600
2018-10-29,268.799988,270.250000,259.850006,263.859985,261.177673,160749100
2018-10-30,263.670013,268.119995,263.119995,267.769989,265.047943,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,267.878876,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,270.729584,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,269.126068,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,270.610840,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,272.323212,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,278.153351,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,277.648529,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,274.936371,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,269.799164,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,269.294342,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,267.453247,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,270.244537,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,270.947357,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,266.364441,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,261.435028,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,262.325867,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,260.573883,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,264.780670,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,265.671539,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,271.788696,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,271.194794,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,272.847839,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,276.460693,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,267.502716,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,267.096893,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,260.890656,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,261.385559,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,261.444946,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,262.761414,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,262.672302,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,257.822144,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,252.764099,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,252.486938,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,248.705765,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,244.657349,252053400
2018-12-21,246.740005,249.710007,239.979996,240.699997,239.644424,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,233.312317,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,245.100388,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,246.982117,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,246.663513,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,248.823990,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,249.082855,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,243.139038,143813100
2019-01-04,247.589996,253.110001,247.169998,252.389999,251.283173,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,253.264450,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,255.643951,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,256.838684,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,257.744720,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,257.844269,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,256.271179,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,259.208252,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,259.835510,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,261.806793,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,265.291443,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,261.707245,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,262.254852,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,262.394226,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,264.614441,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,262.603302,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,262.254852,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,266.406525,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,268.746246,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,268.875671,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,270.767334,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,271.902344,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,271.543915,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,268.955353,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,269.283875,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,269.433228,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,272.897980,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,273.784058,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,273.176727,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,276.153625,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,276.631531,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,277.189056,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,276.203400,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,277.915863,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,278.294189,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,278.095062,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,277.975616,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,277.457855,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,279.190247,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,278.174713,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,277.796387,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,276.113770,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,273.803986,94710600
2019-03-08,272.940002,274.649994,272.420013,274.459991,273.256378,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,277.218933,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,278.264313,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,280.106201,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,279.927002,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,281.309998,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,282.329987,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,282.399994,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,281.549988,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,284.730011,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,279.250000,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,279.040009,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,281.119995,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,279.649994,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,280.709991,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,282.480011,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,285.829987,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,285.970001,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,286.420013,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,287.179993,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,288.570007,58621700
2019-04-08,288.100006,288.910004,287.369995,288.790009,288.790009,53566300
2019-04-09,287.720001,288.079987,286.700012,287.309998,287.309998,66142300
2019-04-10,287.769989,288.390015,287.309998,288.290009,288.290009,52601500
2019-04-11,288.829987,288.839996,287.579987,288.209991,288.209991,55093100
2019-04-12,290.000000,290.470001,288.260010,290.160004,290.160004,69727800
2019-04-15,290.239990,290.350006,289.079987,289.970001,289.970001,49596700
2019-04-16,290.950012,291.010010,289.500000,290.160004,290.160004,52153200
2019-04-17,291.399994,291.429993,288.989990,289.450012,289.450012,58268300
2019-04-18,290.100006,290.320007,288.660004,290.019989,290.019989,68708500
2019-04-22,289.170013,290.440002,289.070007,290.269989,290.269989,40160100
2019-04-23,290.679993,293.140015,290.420013,292.880005,292.880005,52246600
2019-04-24,292.790009,293.160004,292.070007,292.230011,292.230011,50392900
2019-04-25,292.119995,292.779999,290.730011,292.049988,292.049988,57770900
2019-04-26,292.100006,293.489990,291.239990,293.410004,293.410004,50916400
2019-04-29,293.510010,294.450012,293.410004,293.869995,293.869995,57197700
2019-04-30,293.489990,294.339996,291.920013,294.019989,294.019989,81111700
2019-05-01,294.720001,294.950012,291.799988,291.809998,291.809998,71671900
2019-05-02,291.679993,292.700012,289.519989,291.179993,291.179993,65030200
2019-05-03,292.820007,294.339996,291.299988,294.029999,294.029999,56543700
2019-05-06,289.250000,293.309998,288.899994,292.820007,292.820007,107198100
2019-05-07,290.149994,290.809998,285.809998,287.929993,287.929993,144729900
2019-05-08,287.529999,289.429993,286.869995,287.529999,287.529999,91568300
2019-05-09,285.230011,287.329987,283.299988,286.660004,286.660004,103471100
2019-05-10,285.619995,288.940002,282.299988,288.100006,288.100006,112429300
2019-05-13,282.420013,283.489990,279.929993,280.859985,280.859985,127290500
2019-05-14,281.989990,285.100006,281.850006,283.399994,283.399994,77003200
2019-05-15,281.589996,285.769989,281.359985,285.059998,285.059998,73956400
2019-05-16,285.839996,289.209991,285.760010,287.700012,287.700012,76749600
2019-05-17,285.140015,288.600006,285.119995,285.839996,285.839996,100353000
2019-05-20,284.059998,285.959991,283.119995,283.950012,283.950012,62877600
2019-05-21,285.829987,286.929993,285.549988,286.510010,286.510010,46689800
2019-05-22,285.450012,286.679993,285.100006,285.619995,285.619995,49482472
